Minutes,Survivor,Football Night in America,NCIS: Los Angeles,FBI,Manifest,The Good Doctor,Mid Wicket Tales,A Million Little Things,To Tell the Truth,The Masked Singer,Magnum P.I.,Chicago Fire,Grey's Anatomy,The Bachelor,Call Me Kat,Law & Order: SVU,Shark Tank,This Is Us,Next Level Chef,Animal Control
34,0.8,11.1,,4.3,1.5,4.3,6.6,1.4,,1.3,2.4,,7.3,3.6,2.2,0.1,3,,8.5,
35,0.3,12.5,,1.7,5.4,0.8,14.5,0.2,,6.6,0.9,,4.7,8.4,1.4,2.1,3,,7.2,
36,2.5,13.8,,2,3.3,2.6,7.1,1.5,,5.2,1.9,,1.7,1.3,1.1,1.6,3,,5.8,
37,1.4,15,,3.5,6.8,1.2,3.7,0.6,,2.8,2.2,,9.6,3.6,2,4.5,4.6,,7.5,
38,2.8,16.3,,5.1,2,3.4,6.5,0.9,,4.5,0.8,,3.1,5.5,1.4,2.4,4.8,,7.9,
39,3.5,17.6,,0.2,4.7,1.9,11.5,1.2,,7.9,1.6,,6.7,0.6,1,1,3.7,,8.1,
40,1.3,18.4,,4.8,1.4,0.9,9.1,0.3,,4.5,0.4,,10.7,7.3,0.7,0.8,2.5,,8.7,
41,0.5,18.9,,3.9,5,2.7,5.4,0.8,,3.1,2.1,,2.4,6.4,0.5,3,1.8,,9.2,
42,3.2,18.9,,2.1,3.6,4.3,8.4,1.1,,1.6,0.5,,7.9,3.3,1.4,1.8,3.4,,5.9,
43,1,18.9,,1.6,6.7,3,1.3,0.4,,6.9,1.5,,4.2,3.9,2,4.5,2.5,,8.4,
44,0.7,18.9,,0.1,2.4,0.3,11.4,0.7,,5.8,2.3,,1.4,2.2,2.2,4.5,2.8,,4.4,
45,2,18.9,,5.4,4.9,2.3,14.5,1,,2.4,0.1,,9.5,3.9,1.7,4.5,4.4,,3.1,
46,0.2,0.4,,3,1.2,1.8,10.1,1.3,,4.8,1.7,,3.4,6.1,0.8,3.5,4.9,,6.2,
47,2.6,1.8,,2.8,5.5,1.2,4.5,0.5,,7.9,2.6,,6.4,8.4,1.3,1.4,4.5,,3.1,
48,1.5,3.4,,1.8,3.8,3.6,12.7,1.4,,6.8,2,,10.7,4.5,2.2,2,4,,4.5,
49,0.5,4.9,,4.7,6.8,4.3,7.2,0.9,,6.3,1.5,,2.7,7.4,1.6,0.3,3.9,,7.6,
50,3.5,6.3,,4.9,2.2,0.5,5.1,0.6,,1.4,0.9,,7.2,2.8,0.7,1.2,2.6,,8.4,
51,2.1,7.8,,5.5,4.5,2.1,4.9,0.3,,6.7,2.4,,4.5,1.1,1.3,0.4,4.3,,9.2,
52,1.6,9.3,,3.3,3.9,0.7,8.9,1.5,,5.6,1.1,,1.3,3.5,0.3,0.7,1.3,,8,
53,2.4,10.7,,2.4,5.6,3.5,11.8,0.9,,1.8,1.9,,8.9,5.8,1.5,1.1,4.5,,7.2,
54,0.9,12.2,,1.2,3.7,4.1,13.6,1.2,,2.5,2.2,,3.5,4.7,2.2,3.6,3.2,,6.4,
55,1.8,13.6,,4.6,6.2,4.3,14.5,0.7,,4.1,1.8,,6.8,2.1,1.6,4.5,1.6,,5.2,
56,3.5,15.1,,0.7,2.8,3.7,9.9,1.1,,7.9,2.1,,10.7,0.1,0.2,4.2,4.9,,5,
57,0.2,16.7,,5.2,4.6,3.4,10.5,0.8,,5.6,1.9,,9.6,7.5,1.8,3.1,3.8,,5.8,
58,3.1,18.1,,3.4,3.1,3,7.6,1.2,,7.2,2.6,,8.9,2.5,1,3,2.4,,7.2,
59,1.7,18.9,,2,5.8,3.5,6.8,1.5,,5.6,2.1,,8.4,4.7,1.5,2.8,4.1,,5,
60,2.3,18.9,,1.5,3.9,3,10,1.1,,6.6,1.8,,7.9,6.8,1.7,2.4,1.1,,4.5,
61,,18.9,,,,,,,,,,,,8.4,,,4.7,,,
62,,16.7,,,,,,,,,,,,1.8,,,2.9,,,
63,,15.7,,,,,,,,,,,,3.9,,,3.6,,,
64,,14.8,,,,,,,,,,,,5,,,2.2,,,
65,,17,,,,,,,,,,,,0.8,,,4.5,,,
66,,16.5,,,,,,,,,,,,7.7,,,4.6,,,
67,,14.8,,,,,,,,,,,,2,,,3.4,,,
68,,9.5,,,,,,,,,,,,4.5,,,2.5,,,
69,,2.3,,,,,,,,,,,,6.7,,,4.2,,,
70,,3.6,,,,,,,,,,,,8.4,,,1.2,,,
71,,5,,,,,,,,,,,,1.7,,,4.8,,,
72,,6.6,,,,,,,,,,,,3.9,,,2.7,,,
73,,8,,,,,,,,,,,,5.4,,,1.2,,,
74,,9.5,,,,,,,,,,,,2.8,,,0.8,,,
75,,11.3,,,,,,,,,,,,1.2,,,3.1,,,
76,,12.8,,,,,,,,,,,,0.8,,,1.8,,,
77,,14.3,,,,,,,,,,,,2.8,,,4.6,,,
78,,15.7,,,,,,,,,,,,4.2,,,1.5,,,
79,,17,,,,,,,,,,,,6.4,,,0.8,,,
80,,18.6,,,,,,,,,,,,8.4,,,3.9,,,
81,,18.9,,,,,,,,,,,,1.9,,,2.6,,,
82,,18.9,,,,,,,,,,,,3.1,,,4.3,,,
83,,18.9,,,,,,,,,,,,5.6,,,1.3,,,
84,,18.9,,,,,,,,,,,,0.4,,,4.5,,,
85,,18.9,,,,,,,,,,,,7.4,,,3.2,,,
86,,16.7,,,,,,,,,,,,2.9,,,2.5,,,
87,,14.5,,,,,,,,,,,,4.4,,,1.6,,,
88,,10.9,,,,,,,,,,,,6.2,,,4.9,,,
89,,11.5,,,,,,,,,,,,8.4,,,0.8,,,
90,,14.6,,,,,,,,,,,,1.8,,,0.4,,,
91,,15.7,,,,,,,,,,,,3,,,0.2,,,
92,,11.9,,,,,,,,,,,,5.1,,,3.8,,,
93,,13.3,,,,,,,,,,,,0.9,,,2.4,,,
94,,14.8,,,,,,,,,,,,7,,,1.5,,,
95,,16.1,,,,,,,,,,,,2.7,,,2,,,
96,,17.4,,,,,,,,,,,,4,,,2,,,
97,,18.8,,,,,,,,,,,,5.6,,,2.9,,,
98,,18.9,,,,,,,,,,,,8.4,,,3,,,
99,,18.9,,,,,,,,,,,,2.1,,,3.6,,,
100,,18.9,,,,,,,,,,,,5.2,,,2.2,,,
101,,18.9,,,,,,,,,,,,1.4,,,4.9,,,
102,,18.9,,,,,,,,,,,,7.8,,,3.8,,,
103,,11.5,,,,,,,,,,,,3.7,,,4.2,,,
104,,13.8,,,,,,,,,,,,4.6,,,3.7,,,
105,,16.6,,,,,,,,,,,,6.9,,,2.8,,,
106,,15.3,,,,,,,,,,,,8.4,,,4.4,,,
107,,14.1,,,,,,,,,,,,0.9,,,4.9,,,
108,,12.7,,,,,,,,,,,,3.2,,,3.5,,,
109,,18.5,,,,,,,,,,,,5.8,,,2.3,,,
110,,15,,,,,,,,,,,,1.6,,,4,,,
111,,17.5,,,,,,,,,,,,7.1,,,4.7,,,
112,,12.2,,,,,,,,,,,,2.3,,,4.9,,,
113,,17.2,,,,,,,,,,,,4.9,,,3.9,,,
114,,16.5,,,,,,,,,,,,6.7,,,3.8,,,
115,,18,,,,,,,,,,,,8,,,3.2,,,
116,,18.5,,,,,,,,,,,,8.4,,,4,,,
117,,18.9,,,,,,,,,,,,7.5,,,4.5,,,
118,,18.7,,,,,,,,,,,,6.1,,,2.9,,,
119,,18.8,,,,,,,,,,,,6.6,,,2.8,,,
120,,18.9,,,,,,,,,,,,3.5,,,2.4,,,
